Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Reculta,Noida,education,A campus recruitment solution provider.,1512135.0,Seed,2018,Education
Orbo.ai,Mumbai,internet,Orbo is a computer vision and deep facial technology company.,1512135.0,Seed,2018,Technology
Inntot Technologies,Kochi,consumer electronics,"Inntot Technologies, is a technology driven company.",1512135.0,Seed,2018,Manufacturing
Zoctr Health,Powai,apps,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,1512135.0,Seed,2018,Technology
Hey Deedee,Mumbai,delivery service,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,482130.0,Seed,2018,Automobile
DigiConnectt Technologys,Bengaluru,information services,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,1826.25,Seed,2018,Business Intelligence
Locus.sh,Bangalore,big data,Locus is an intelligent logistics automation platform.,58440.0,Series A,2018,Business Intelligence
Sports Flashes Pvt. Ltd,New Delhi,basketball,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",14610.0,Seed,2018,Sports
Inc42,New Delhi,media and entertainment,Inc42 is one of the leading tech media publications of India.,1512135.0,Seed,2018,Media and Entertainment
Picxy,Guntur,internet,"A stock photo startup based in Amravati, Andhra Pradesh.",1899.3,Seed,2018,Technology
Huddle,Haryana,consulting,A coworking incubator Company.,4383.0,Seed,2018,Business Intelligence
Benepik,Gurgaon,human resources,HR Technology start-up.,1512135.0,Seed,2018,Government
Cash Suvidha,New Delhi,finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,14610.0,Seed,2018,Finance
Smartcoin,Bangalore,big data,Providing financial access to the millions of mobile users in India using alternative credit assessment,29220.0,Seed,2018,Business Intelligence
Carmel Organics,Indore,agriculture,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",1512135.0,Series A,2018,Agriculture
Roadcast,New Delhi,fintech,Transforming the way businesses deliver. Work-force & fleet mobility tools.,3652.5,Seed,2018,Finance
Printline Media(ThePrint),New Delhi,digital media,A digital news platform.,509889.0,Seed,2018,Media and Entertainment
Creditas Solutions,Gurgaon,financial services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,1512135.0,Seed,2018,Finance
UrbanPiper,Bengaluru,software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,1512135.0,Seed,2018,Technology
Doxper,Mumbai,health care,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1051920.0,Seed,2018,Health
i2ifunding,Noida,crowdfunding,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,730500.0,Seed,2018,Finance
ShakeDeal,Bangalore,b2b,Home of B2B Commerce,1512135.0,Seed,2018,Commerce
HelloVerify,Noida,fraud detection,HelloVerify is an online background check platform.,1512135.0,Seed,2018,Technology
Fasal,Bengaluru,agriculture,Climate Smart Precision Agriculture Platform,1753.2,Seed,2018,Agriculture
CoinGeto,Delhi,cryptocurrency,CoinGeto is one of India’s most advanced digital assets exchange.,1753200.0,Seed,2018,Finance
Avail Finance,Bangalore,finance,Avail is a mobile-first platform aiming to financially include the urban mass of India.,251292.0,Series A,2018,Finance
Tripeur,Bengaluru,information technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,8766.0,Seed,2018,Technology
Wedeterna,Bangalore,wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",1512135.0,Seed,2018,Lifestyle
Stumagz,Hyderabad,digital media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,1512135.0,Seed,2018,Media and Entertainment
Doubtnut,Gurgaon,e-learning,Gurgaon based E-learning platform.,511350.0,Seed,2018,Education
